Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,2311131,EOCCY US Equity,62000,,0,N/A,N/A
CIL,US,SEDOL,B1VRQ53,EOD US Equity,186000,,3895,18.50,400699317473818948-CPB10920
CIL,US,SEDOL,2318024,EOG US Equity,13000,,13000,GC,915181127074402033-CPB10920
CIL,US,SEDOL,B038CF9,EOI US Equity,66000,,62155,14.88,6936468604169110642-CPB10920
CIL,US,SEDOL,BDRJH21,EOLS US Equity,58000,,0,N/A,N/A
CIL,US,SEDOL,2113597,EONGY US Equity,102000,,31113,15.13,4381218191773552463-CPB10920
CIL,US,SEDOL,B05Q1G5,EOS US Equity,60000,,26101,31.88,5956843996819600858-CPB10920
CIL,US,SEDOL,B4ZWTR8,EOT US Equity,46000,,0,N/A,N/A
CIL,US,SEDOL,B44Z3T8,EPAM US Equity,6000,,6000,GC,3845671019609608064-CPB10920
CIL,US,SEDOL,2389558,EPAY US Equity,26000,,26000,GC,5937279302562759767-CPB10920
CIL,US,SEDOL,BX8ZSB4,EPC US Equity,32000,,32000,GC,1761032319518655579-CPB10920
CIL,US,SEDOL,2285388,EPD US Equity,35000,,35000,GC,1835601319905149206-CPB10920
CIL,US,Unknown,EPE US,EPE US Equity,394000,,0,N/A,N/A
CIL,US,SEDOL,B4PP7P1,EPHE US Equity,30000,,30000,8.75,7296128292759292370-CPB10920
CIL,US,SEDOL,B2PXT11,EPI US Equity,42000,,42000,1.23,210960633676711851-CPB10920
CIL,US,SEDOL,BD0F6S5,EPOKY US Equity,92000,,0,N/A,N/A
CIL,US,SEDOL,B575DH0,EPOL US Equity,48000,,48000,2.88,7148990741605731986-CPB10920
CIL,US,SEDOL,2812957,EPP US Equity,23000,,23000,0.85,5478133462923853381-CPB10920
CIL,US,SEDOL,B8XXZP1,EPR US Equity,13000,,13000,GC,7209409006140174925-CPB10920
CIL,US,SEDOL,BFFK0X2,EPRT US Equity,43000,,43000,GC,2426632924061191459-CPB10920
CIL,US,SEDOL,B1SM3G1,EPS US Equity,30000,,0,N/A,N/A
CIL,US,SEDOL,B605C22,EPU US Equity,29000,,29000,6.50,8697549647445968630-CPB10920
CIL,US,SEDOL,BJ38Y56,EPV US Equity,32000,,0,N/A,N/A
CIL,US,SEDOL,B9Z1QZ7,EPZM US Equity,94000,,94000,GC,8196880531910642527-CPB10920
CIL,US,SEDOL,BYZG9Q9,EQBK US Equity,37000,,34027,GC,2357960229013177694-CPB10920
CIL,US,SEDOL,BPH3N63,EQC US Equity,30000,,30000,GC,703763237851346217-CPB10920
CIL,US,SEDOL,BYWV2Y6,EQH US Equity,46000,,46000,GC,6507720070328240636-CPB10920
